TRIPID,PERSID,HHID,STARTIME,TRIPTIME,WAITIME,CUMDIST,STOPS,ORIGLGA,TRAVDOW,Mode_Group,TRIPPURP,ActualStartTime
Y17H2390439P01T01,Y17H2390439P01,Y17H2390439,655,5,0,2.44,1,Moreland (C),Thursday,Vehicle Driver,Social,1900-00-01 10:55:00
Y17H2390439P01T02,Y17H2390439P01,Y17H2390439,705,15,0,9.09,1,Moonee Valley (C),Thursday,Vehicle Driver,Education,1900-00-01 11:45:00
Y17H2390439P01T03,Y17H2390439P01,Y17H2390439,810,10,0,3.19,1,Moonee Valley (C),Thursday,Vehicle Driver,Buy Something,1900-00-01 13:30:00
Y17H2390439P01T04,Y17H2390439P01,Y17H2390439,870,15,0,6.89,1,Moonee Valley (C),Thursday,Vehicle Driver,Buy Something,1900-00-01 14:30:00
Y17H2390440P01T01,Y17H2390440P01,Y17H2390440,480,10,0,3.69,1,Moreland (C),Friday,Vehicle Driver,Work Related,1900-00-01 08:00:00
Y17H2390440P01T02,Y17H2390440P01,Y17H2390440,660,5,0,0.21,1,Moonee Valley (C),Friday,Walking,Buy Something,1900-00-01 11:00:00
Y17H2390440P01T03,Y17H2390440P01,Y17H2390440,695,5,0,0.21,1,Moonee Valley (C),Friday,Walking,Work Related,1900-00-01 11:35:00
Y17H2390440P01T04,Y17H2390440P01,Y17H2390440,945,15,0,9.09,1,Moonee Valley (C),Friday,Vehicle Driver,Buy Something,1900-00-01 15:45:00
Y17H2390440P01T05,Y17H2390440P01,Y17H2390440,1095,45,0,9.64,1,Maribyrnong (C),Friday,Vehicle Driver,Social,1900-00-01 18:15:00
Y17H2390440P01T06,Y17H2390440P01,Y17H2390440,1180,10,0,3.01,1,Moonee Valley (C),Friday,Vehicle Driver,Social,1900-00-01 19:40:00
Y17H2391024P03T01,Y17H2391024P03,Y17H2391024,435,10,0,2.73,1,Yarra (C),Wednesday,Vehicle Driver,Work Related,1900-00-01 07:15:00
Y17H2391024P04T01,Y17H2391024P04,Y17H2391024,510,15,0,2.98,1,Yarra (C),Wednesday,Walking,Education,1900-00-01 08:30:00
Y17H2391024P05T01,Y17H2391024P05,Y17H2391024,510,15,0,2.98,1,Yarra (C),Wednesday,Walking,Education,1900-00-01 08:30:00
Y17H2392101P05T01,Y17H2392101P05,Y17H2392101,520,10,0,9.59,1,Cardinia (S),Monday,Vehicle Passenger,Education,1900-00-01 08:40:00
Y17H2392101P05T02,Y17H2392101P05,Y17H2392101,927,28,0,9.53,1,Cardinia (S),Monday,Vehicle Passenger,Education,1900-00-01 15:27:00
Y17H2392105P01T01,Y17H2392105P01,Y17H2392105,600,15,0,3.23,1,Cardinia (S),Friday,Vehicle Driver,Buy Something,1900-00-01 10:00:00
Y17H2392111P01T01,Y17H2392111P01,Y17H2392111,330,60,0,62.98,1,Cardinia (S),Thursday,Vehicle Driver,Work Related,1900-00-01 05:30:00
Y17H2392111P01T02,Y17H2392111P01,Y17H2392111,900,75,0,61.91,1,Yarra (C),Thursday,Vehicle Driver,Work Related,1900-00-01 15:00:00
Y17H2392111P03T02,Y17H2392111P03,Y17H2392111,505,20,0,17.04,1,Cardinia (S),Thursday,Vehicle Passenger,Education,1900-00-01 08:25:00
Y17H2392111P04T02,Y17H2392111P04,Y17H2392111,505,20,0,17.04,1,Cardinia (S),Thursday,Vehicle Passenger,Education,1900-00-01 08:25:00
Y17H2392122P01T01,Y17H2392122P01,Y17H2392122,315,35,0,44.68,1,Cardinia (S),Monday,Vehicle Driver,Buy Something,1900-00-01 05:15:00
Y17H2392122P01T02,Y17H2392122P01,Y17H2392122,354,6,0,1.98,1,Whitehorse (C),Monday,Vehicle Driver,Work Related,1900-00-01 05:54:00
Y17H2392122P01T03,Y17H2392122P01,Y17H2392122,975,62,0,0,1,Whitehorse (C),Monday,Vehicle Driver,Work Related,1900-00-01 16:15:00
Y17H2392122P01T04,Y17H2392122P01,Y17H2392122,1054,11,0,2.62,1,Cardinia (S),Monday,Vehicle Driver,Buy Something,1900-00-01 17:34:00
Y17H2392122P01T05,Y17H2392122P01,Y17H2392122,1072,10,0,0,1,Cardinia (S),Monday,Vehicle Driver,Buy Something,1900-00-01 17:52:00
Y17H2392122P01T07,Y17H2392122P01,Y17H2392122,1163,12,0,6.89,1,Cardinia (S),Monday,Vehicle Passenger,Buy Something,1900-00-01 19:23:00
Y17H2392122P01T08,Y17H2392122P01,Y17H2392122,1192,8,0,0,1,Cardinia (S),Monday,Vehicle Passenger,Buy Something,1900-00-01 19:52:00
Y17H2392122P02T01,Y17H2392122P02,Y17H2392122,740,10,0,3.72,1,Cardinia (S),Monday,Vehicle Driver,Buy Something,1900-00-01 12:20:00
Y17H2392122P02T02,Y17H2392122P02,Y17H2392122,810,15,0,0,1,Cardinia (S),Monday,Vehicle Driver,Buy Something,1900-00-01 13:30:00
Y17H2392122P02T03,Y17H2392122P02,Y17H2392122,1054,11,0,2.62,1,Cardinia (S),Monday,Vehicle Passenger,Buy Something,1900-00-01 17:34:00
Y17H2392122P02T04,Y17H2392122P02,Y17H2392122,1072,10,0,3.28,1,Cardinia (S),Monday,Vehicle Passenger,Buy Something,1900-00-01 17:52:00
Y17H2392122P02T06,Y17H2392122P02,Y17H2392122,1163,12,0,6.89,1,Cardinia (S),Monday,Vehicle Driver,Buy Something,1900-00-01 19:23:00
Y17H2392122P02T07,Y17H2392122P02,Y17H2392122,1192,8,0,3.7,1,Cardinia (S),Monday,Vehicle Driver,Buy Something,1900-00-01 19:52:00
Y17H2392131P01T01,Y17H2392131P01,Y17H2392131,330,55,0,42.18,1,Cardinia (S),Wednesday,Vehicle Driver,Work Related,1900-00-01 05:30:00
Y17H2392131P01T02,Y17H2392131P01,Y17H2392131,990,75,0,0,1,Monash (C),Wednesday,Vehicle Driver,Work Related,1900-00-01 16:30:00
Y17H2392138P02T01,Y17H2392138P02,Y17H2392138,350,71,10,38.73,3,Cardinia (S),Wednesday,Train,Work Related,1900-00-01 05:50:00
Y17H2392301P01T01,Y17H2392301P01,Y17H2392301,1080,10,0,5.77,1,Yarra Ranges (S),Monday,Vehicle Passenger,Buy Something,1900-00-01 18:00:00
Y17H2392301P01T02,Y17H2392301P01,Y17H2392301,1100,54,0,0,1,Yarra Ranges (S),Monday,Vehicle Passenger,Buy Something,1900-00-01 18:20:00
Y17H2392301P02T01,Y17H2392301P02,Y17H2392301,1080,10,0,5.77,1,Yarra Ranges (S),Monday,Vehicle Driver,Buy Something,1900-00-01 18:00:00
Y17H2392301P02T02,Y17H2392301P02,Y17H2392301,1100,54,0,53.96,1,Yarra Ranges (S),Monday,Vehicle Driver,Buy Something,1900-00-01 18:20:00
Y17H2392308P02T01,Y17H2392308P02,Y17H2392308,480,14,5,2.53,3,Melbourne (C),Monday,Tram,Work Related,1900-00-01 08:00:00
Y17H2392308P02T02,Y17H2392308P02,Y17H2392308,1020,20,5,2.53,3,Melbourne (C),Monday,Tram,Work Related,1900-00-01 17:00:00
Y17H2392330P01T01,Y17H2392330P01,Y17H2392330,545,15,0,0.85,1,Moreland (C),Tuesday,Walking,Buy Something,1900-00-01 09:05:00
Y17H2392330P01T04,Y17H2392330P01,Y17H2392330,765,30,3,2.01,3,Melbourne (C),Tuesday,Tram,Social,1900-00-01 12:45:00
Y17H2392330P01T05,Y17H2392330P01,Y17H2392330,855,25,0,1.47,1,Melbourne (C),Tuesday,Walking,Social,1900-00-01 14:15:00
Y17H2392330P01T06,Y17H2392330P01,Y17H2392330,935,90,10,5.47,3,Melbourne (C),Tuesday,Tram,Social,1900-00-01 15:35:00
Y17H2392338P01T01,Y17H2392338P01,Y17H2392338,480,10,0,1.22,1,Moreland (C),Wednesday,Walking,Work Related,1900-00-01 08:00:00
Y17H2392338P01T02,Y17H2392338P01,Y17H2392338,1260,10,0,0,1,Melbourne (C),Wednesday,Walking,Work Related,1900-00-01 21:00:00
Y17H2392522P01T02,Y17H2392522P01,Y17H2392522,525,5,0,1.47,1,Darebin (C),Monday,Vehicle Driver,Social,1900-00-01 08:45:00
Y17H2392522P01T04,Y17H2392522P01,Y17H2392522,650,10,0,2.09,1,Darebin (C),Monday,Vehicle Driver,Social,1900-00-01 10:50:00
Y17H2392522P01T06,Y17H2392522P01,Y17H2392522,935,10,0,1.47,1,Darebin (C),Monday,Vehicle Driver,Social,1900-00-01 15:35:00
